coverage,path,month,index,nav,cash,cash_wealth,gross_premium,call_settlement
0.85,先跌后V形反弹,7,98.46120416000002,75.36764608693628,14.402699477387763,89.77034556432403,0.02,0.085
0.85,先跌后V形反弹,8,106.33810049280004,75.84372662612243,16.460227974157444,92.30395460027988,0.02,0.068
0.85,先跌后V形反弹,9,112.71838652236805,76.10828022622255,18.517756470927125,94.62603669714967,0.02,0.051
0.85,先跌后V形反弹,10,118.35430584848646,76.26677115537305,20.575284967696806,96.84205612306985,0.02,0.0425
0.85,先跌后V形反弹,11,123.08847808242592,76.31547665534426,22.632813464466487,98.94829011981074,0.02,0.034
0.85,先跌后V形反弹,12,126.7811324248987,76.25105402388998,24.690341961236168,100.94139598512615,0.02,0.0255
1.0,震荡,1,103.0,100.10413816989698,2.05752849676968,102.16166666666666,0.02,0.03
1.0,震荡,2,100.94,98.20844469650197,4.11505699353936,102.32350169004133,0.02,0.0
1.0,震荡,3,102.9588,98.27385541258833,6.17258549030904,104.44644090289738,0.02,0.02
1.0,震荡,4,99.870036,95.39246442794312,8.23011398707872,103.62257841502185,0.02,0.0
1.0,震荡,5,100.86873636,95.39700303722415,10.287642483848401,105.68464552107255,0.02,0.01
1.0,震荡,6,100.86873636,95.40163975610913,12.345170980618082,107.74681073672721,0.02,0.0
1.0,震荡,7,102.8861110872,95.40637670540067,14.402699477387763,109.80907618278843,0.02,0.02
1.0,震荡,8,100.828388865456,93.50308851763806,16.460227974157444,109.96331649179551,0.02,0.0
1.0,震荡,9,103.85324053141969,93.46678511765799,18.517756470927125,111.98454158858512,0.02,0.03
1.0,震荡,10,100.73764331547709,90.62569340565196,20.575284967696806,111.20097837334876,0.02,0.0
1.0,震荡,11,101.74501974863186,90.52719031466779,22.632813464466487,113.16000377913429,0.02,0.01
1.0,震荡,12,101.74501974863186,90.42655791520018,24.690341961236168,115.11689987643635,0.02,0.0
1.0,持续上涨,1,103.0,100.10413816989698,2.05752849676968,102.16166666666666,0.02,0.03
1.0,持续上涨,2,106.09,100.21052745989991,4.11505699353936,104.32558445343926,0.02,0.03
1.0,持续上涨,3,109.2727,100.31921653172172,6.17258549030904,106.49180202203077,0.02,0.03
1.0,持续上涨,4,112.550881,100.43025509897943,8.23011398707872,108.66036908605815,0.02,0.03
1.0,持续上涨,5,115.92740743,100.54369394993269,10.287642483848401,110.83133643378109,0.02,0.03
1.0,持续上涨,6,119.4052296529,100.65958497071405,12.345170980618082,113.00475595133213,0.02,0.03
1.0,持续上涨,7,122.987386542487,100.7779811690613,14.402699477387763,115.18068064644908,0.02,0.03
1.0,持续上涨,8,126.67700813876162,100.89893669856284,16.460227974157444,117.35916467272028,0.02,0.03
1.0,持续上涨,9,130.47731838292447,101.02250688342708,18.517756470927125,119.54026335435421,0.02,0.03
1.0,持续上涨,10,134.39163793441222,101.14874824378748,20.575284967696806,121.72403321148428,0.02,0.03
1.0,持续上涨,11,138.4233870724446,101.27771852155433,22.632813464466487,123.91053198602083,0.02,0.03
1.0,持续上涨,12,142.57608868461793,101.40947670682559,24.690341961236168,126.09981866806176,0.02,0.03
1.0,持续下跌,1,97.0,97.104138169897,2.05752849676968,99.16166666666668,0.02,0.0
1.0,持续下跌,2,94.09,94.23255331480303,4.11505699353936,98.34761030834238,0.02,0.0
1.0,持续下跌,3,91.2673,91.38504191274426,6.17258549030904,97.5576274030533,0.02,0.0
1.0,持续下跌,4,88.529281,88.5614021479394,8.23011398707872,96.79151613501813,0.02,0.0
1.0,持续下跌,5,85.87340257,85.76143389649617,10.287642483848401,96.04907638034457,0.02,0.0
1.0,持续下跌,6,83.29720049289999,82.98493871222753,12.345170980618082,95.33010969284561,0.02,0.0
1.0,持续下跌,7,80.79828447811299,80.23171981258702,14.402699477387763,94.63441928997477,0.02,0.0
1.0,持续下跌,8,78.3743359437696,77.50158206472182,16.460227974157444,93.96181003887926,0.02,0.0
1.0,持续下跌,9,76.0231058654565,74.79433197164289,18.517756470927125,93.31208844257002,0.02,0.0
1.0,持续下跌,10,73.74241268949281,72.10977765851094,20.575284967696806,92.68506262620774,0.02,0.0
1.0,持续下跌,11,71.53014030880803,69.44772885903741,22.632813464466487,92.08054232350389,0.02,0.0
1.0,持续下跌,12,69.38423609954378,66.80799690199947,24.690341961236168,91.49833886323565,0.02,0.0
1.0,先跌后V形反弹,1,92.0,92.10413816989698,2.05752849676968,94.16166666666666,0.02,0.0
1.0,先跌后V形反弹,2,84.64,84.66926307297481,4.11505699353936,88.78432006651417,0.02,0.0
